Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:04:06.905,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.314, -0.138, 1.001, -1.099, 3.906, 3.54, , , , , , , -4.96, -26.719, 179, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.905,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.323, -0.141, 1.001, 2.258, 5.188, 3.967, , , , , , , -4.971, -26.669, 179.033, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.905,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.316, -0.138, 1.005, 4.944, 6.958, 4.395, , , , , , , -4.955, -26.603, 179.072, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.905,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.31, -0.125, 0.998, 5.493, 6.592, 4.15, , , , , , , -4.922, -26.526, 179.11, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.935,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.306, -0.121, 0.987, 4.883, 5.188, 5.005, , , , , , , -4.889, -26.466, 179.149, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.935,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.301, -0.124, 0.979, 5.615, 3.662, 5.31, , , , , , , -4.861, -26.417, 179.203, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.935,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.3, -0.124, 0.971, 7.08, 1.892, 5.31, , , , , , , -4.823, -26.384, 179.253, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.935,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.309, -0.122, 0.958, 7.935, 0, 5.31, , , , , , , -4.774, -26.367, 179.308, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.998,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.317, -0.121, 0.953, 8.24, 1.038, 5.92, , , , , , , -4.719, -26.362, 179.368, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.998,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.313, -0.121, 0.956, 9.46, 5.188, 7.202, , , , , , , -4.658, -26.323, 179.434, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.998,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.314, -0.125, 0.967, 11.902, 6.104, 8.179, , , , , , , -4.587, -26.257, 179.506, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:06.998,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.326, -0.124, 0.981, 14.404, 5.249, 9.033, , , , , , , -4.488, -26.186, 179.594, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.345, -0.119, 1, 16.357, 5.371, 10.437, , , , , , , -4.373, -26.131, 179.687, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.358, -0.119, 1.025, 20.02, 8.606, 11.108, , , , , , , -4.235, -26.049, 179.797, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.355, -0.121, 1.029, 23.376, 11.719, 11.902, , , , , , , -4.054, -25.933, 179.907, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.327, -0.114, 1.011, 23.376, 14.099, 12.207, , , , , , , -3.867, -25.79, -179.967, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.054,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.306, -0.098, 0.989, 22.034, 10.803, 11.902, , , , , , , -3.686, -25.653, -179.857, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.054,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.309, -0.091, 0.968, 21.667, 4.089, 10.681, , , , , , , -3.516, -25.571, -179.742, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.054,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.327, -0.085, 0.948, 21.362, -0.977, 8.606, , , , , , , -3.334, -25.554, -179.643, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.054,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.343, -0.076, 0.933, 20.569, -2.563, 6.714, , , , , , , -3.164, -25.571, -179.561, -8.100, -32.100, -35.053, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.084,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.342, -0.066, 0.928, 19.043, -0.183, 4.456, , , , , , , -2.988, -25.587, -179.5, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.084,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.325, -0.053, 0.905, 13.794, 2.014, 1.892, , , , , , , -2.84, -25.571, -179.467, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.084,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.31, -0.031, 0.865, 1.221, 3.662, -1.343, , , , , , , -2.774, -25.538, -179.473, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.084,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.305, -0.02, 0.843, -10.986, 2.136, -4.944, , , , , , , -2.829, -25.51, -179.506, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.175,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.313, -0.035, 0.847, -19.104, -2.075, -8.301, , , , , , , -2.966, -25.516, -179.588, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.175,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.327, -0.059, 0.864, -22.888, -4.333, -11.475, , , , , , , -3.153, -25.56, -179.687, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.175,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.328, -0.079, 0.89, -24.475, -2.686, -11.047, , , , , , , -3.362, -25.604, -179.813, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.175,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.327, -0.101, 0.923, -23.682, 0.122, -8.789, , , , , , , -3.576, -25.626, -179.912, -5.700, -33.400, -30.747, 30.99, 0.01373, 0.1813, -0.04041, 0.98245,
 13:04:07.181,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.343, -0.118, 0.959, -21.973, 2.197, -6.042, , , , , , , -3.785, -25.62, 179.995, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.181,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.352, -0.133, 0.995, -19.775, 5.676, -2.441, , , , , , , -3.983, -25.582, 179.951, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.181,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.341, -0.136, 1.017, -17.761, 8.301, -1.343, , , , , , , -4.169, -25.51, 179.923, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.181,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.324, -0.132, 1.021, -17.822, 7.263, -0.549, , , , , , , -4.345, -25.428, 179.907, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.31, -0.142, 1.033, -14.221, 4.15, -0.366, , , , , , , -4.515, -25.373, 179.896, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.31, -0.153, 1.044, -6.836, -0.183, -1.465, , , , , , , -4.62, -25.356, 179.885, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.318, -0.16, 1.049, 0.916, -3.662, -1.343, , , , , , , -4.647, -25.384, 179.868, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:48.700, 0.32, -0.16, 1.048, 7.324, -4.761, -0.61, , , , , , , -4.609, -25.428, 179.863, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.265,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.311, -0.137, 1.015, 6.042, -5.127, -0.854, , , , , , , -4.532, -25.477, 179.857, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.265,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.295, -0.087, 0.954, -9.033, -2.502, -1.77, , , , , , , -4.554, -25.521, 179.852, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.265,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.284, -0.058, 0.924, -24.963, 0.366, -0.977, , , , , , , -4.735, -25.532, 179.83, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.265,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.287, -0.066, 0.912, -33.569, 1.038, -2.991, , , , , , , -5.043, -25.521, 179.813, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.324,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.288, -0.087, 0.896, -36.56, 1.892, -4.761, , , , , , , -5.389, -25.516, 179.764, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.324,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.274, -0.099, 0.875, -36.499, 3.54, -6.104, , , , , , , -5.74, -25.488, 179.703, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.324,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.266, -0.104, 0.848, -35.95, 2.625, -6.897, , , , , , , -6.086, -25.466, 179.626, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.324,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.272, -0.112, 0.838, -36.682, 0.61, -6.042, , , , , , , -6.432, -25.455, 179.555, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.356,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.292, -0.12, 0.862, -36.682, 0.122, -5.127, , , , , , , -6.79, -25.466, 179.495, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.356,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.306, -0.134, 0.9, -36.072, 0.854, -4.272, , , , , , , -7.147, -25.466, 179.445, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.356,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.317, -0.152, 0.94, -33.875, -2.014, -4.211, , , , , , , -7.487, -25.472, 179.396, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.356,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.337, -0.174, 0.989, -28.809, -6.165, -4.944, , , , , , , -7.795, -25.527, 179.357, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.384,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.36, -0.195, 1.036, -20.813, -8.057, -5.92, , , , , , , -8.031, -25.609, 179.308, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.384,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.362, -0.213, 1.075, -10.864, -6.714, -6.47, , , , , , , -8.179, -25.692, 179.258, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.384,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.359, -0.219, 1.092, -3.296, -6.226, -7.568, , , , , , , -8.223, -25.768, 179.193, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.384,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.352, -0.214, 1.098, -1.953, -4.517, -5.676, , , , , , , -8.234, -25.829, 179.132, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.413,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.338, -0.208, 1.105, -0.854, -1.831, -2.38, , , , , , , -8.245, -25.867, 179.094, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.413,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.334, -0.216, 1.096, 4.211, -1.099, -0.732, , , , , , , -8.229, -25.884, 179.083, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.413,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.325, -0.224, 1.062, 11.169, 0.183, -0.061, , , , , , , -8.152, -25.889, 179.077, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.413,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.309, -0.209, 1.009, 16.602, 1.831, 0.549, , , , , , , -8.02, -25.878, 179.083, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.294, -0.189, 0.96, 18.433, 1.831, 1.709, , , , , , , -7.85, -25.856, 179.088, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.278, -0.175, 0.916, 18.311, 0.305, 2.93, , , , , , , -7.679, -25.84, 179.116, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.271, -0.154, 0.875, 14.587, -3.723, 3.052, , , , , , , -7.531, -25.856, 179.149, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.28, -0.126, 0.849, 5.798, -6.226, 3.357, , , , , , , -7.449, -25.9, 179.193, -5.700, -33.400, -30.747, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.505,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.297, -0.111, 0.849, -2.808, -6.653, 4.272, , , , , , , -7.465, -25.961, 179.242, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.505,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.316, -0.115, 0.865, -8.118, -5.432, 3.418, , , , , , , -7.553, -26.016, 179.291, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.505,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.334, -0.129, 0.88, -11.047, -4.15, 2.319, , , , , , , -7.668, -26.06, 179.324, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.505,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.335, -0.154, 0.901, -11.292, -0.793, 1.953, , , , , , , -7.8, -26.082, 179.352, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.534,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.326, -0.173, 0.93, -9.033, 1.221, 0.61, , , , , , , -7.91, -26.076, 179.363, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.534,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.326, -0.183, 0.962, -5.493, 0, 0, , , , , , , -7.993, -26.065, 179.368, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.534,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.336, -0.191, 0.989, -1.892, -2.319, -0.061, , , , , , , -8.031, -26.076, 179.363, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.534,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.344, -0.192, 1.01, 1.465, -3.662, -0.183, , , , , , , -8.042, -26.109, 179.374, -5.500, -29.600, -33.480, 30.99, 0.00345, 0.16763, -0.03543, 0.98517,
 13:04:07.594,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.346, -0.177, 1.019, 0.793, -3.174, -1.343, , , , , , , -8.031, -26.147, 179.368, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.594,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.345, -0.158, 1.021, -3.296, -0.549, -1.038, , , , , , , -8.053, -26.169, 179.357, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.594,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.341, -0.165, 1.02, -3.113, 1.709, -0.244, , , , , , , -8.091, -26.164, 179.346, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.594,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.085, 0.336, -0.183, 1.002, -0.183, 2.686, -0.122, , , , , , , -8.113, -26.136, 179.346, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.624,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.323, -0.188, 0.978, 2.93, 3.662, 0.305, , , , , , , -8.102, -26.109, 179.335, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.624,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.309, -0.184, 0.955, 5.432, 3.784, 0.366, , , , , , , -8.064, -26.065, 179.335, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.624,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.308, -0.18, 0.937, 7.141, 1.831, 0.427, , , , , , , -8.004, -26.038, 179.335, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.624,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.313, -0.182, 0.93, 8.179, 0.671, 1.282, , , , , , , -7.938, -26.027, 179.346, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.655,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.321, -0.179, 0.931, 8.423, -0.061, 1.099, , , , , , , -7.866, -26.021, 179.352, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.655,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.326, -0.171, 0.932, 7.385, 0.427, 0.305, , , , , , , -7.795, -26.021, 179.363, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.655,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.322, -0.162, 0.928, 4.089, 1.221, 0, , , , , , , -7.74, -26.01, 179.357, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.655,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.318, -0.152, 0.915, -0.916, 0.61, -0.183, , , , , , , -7.734, -25.999, 179.357, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.715,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.318, -0.147, 0.91, -5.615, 0.183, -0.122, , , , , , , -7.778, -25.999, 179.357, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.715,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.316, -0.15, 0.912, -7.324, 0.305, -0.671, , , , , , , -7.85, -25.994, 179.352, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.715,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.31, -0.155, 0.922, -6.531, 0.488, -1.77, , , , , , , -7.921, -25.994, 179.335, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.715,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.306, -0.158, 0.934, -5.31, -0.061, -1.648, , , , , , , -7.982, -25.994, 179.319, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.773,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.309, -0.16, 0.951, -4.272, -0.183, -1.221, , , , , , , -8.031, -25.999, 179.297, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.773,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.315, -0.162, 0.978, -2.38, 0.183, -0.427, , , , , , , -8.069, -25.999, 179.291, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.773,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.316, -0.167, 0.999, 0, 0.366, 0.305, , , , , , , -8.086, -25.999, 179.286, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.773,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.313, -0.169, 1.008, 1.221, -0.488, 0, , , , , , , -8.086, -25.994, 179.291, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.803,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.313, -0.167, 1, -0.549, -2.563, -0.183, , , , , , , -8.086, -26.016, 179.291, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.803,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.324, -0.172, 1, -1.953, -4.272, 0.244, , , , , , , -8.113, -26.049, 179.297, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.803,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.337, -0.189, 1, 0.244, -5.066, 0, , , , , , , -8.135, -26.098, 179.308, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.803,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.346, -0.203, 0.995, 4.944, -4.883, 0.244, , , , , , , -8.119, -26.147, 179.319, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.835,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.345, -0.203, 0.984, 9.46, -3.296, 0.427, , , , , , , -8.053, -26.186, 179.324, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.835,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.34, -0.188, 0.971, 12.207, -1.16, 0.671, , , , , , , -7.954, -26.208, 179.335, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.835,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.338, -0.168, 0.951, 13.123, 0.916, 0.732, , , , , , , -7.833, -26.208, 179.346, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.835,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.328, -0.152, 0.921, 11.169, 3.784, 0.732, , , , , , , -7.718, -26.175, 179.352, -5.500, -29.600, -33.480, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.893,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.312, -0.13, 0.891, 3.723, 3.662, 0.244, , , , , , , -7.646, -26.136, 179.346, -7.000, -29.900, -32.900, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.893,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.297, -0.115, 0.881, -4.272, 1.892, -0.671, , , , , , , -7.663, -26.109, 179.341, -7.000, -29.900, -32.900, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
 13:04:07.893,d0:1c:1b:3a:ee:9d, 2015-01-01 01:08:49.445, 0.297, -0.121, 0.884, -9.644, -0.244, -2.747, , , , , , , -7.734, -26.104, 179.319, -7.000, -29.900, -32.900, 30.99, 0.01898, 0.1713, -0.07874, 0.98184,
