Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:56:14.179,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.024, -0.172, 1.013, -0.122, -1.282, -2.686, , , , , , , -7.24, -6.68, -155.017, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.180,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.026, -0.169, 1.015, -0.183, -0.854, -2.869, , , , , , , -7.251, -6.696, -155.045, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.180,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.027, -0.162, 1.014, -0.305, 0.305, -2.808, , , , , , , -7.256, -6.707, -155.072, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.180,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.021, -0.154, 1.011, -0.671, 1.587, -2.625, , , , , , , -7.267, -6.696, -155.099, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.013, -0.146, 1.009, -1.282, 1.831, -2.502, , , , , , , -7.284, -6.685, -155.127, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.006, -0.144, 1.005, -2.136, 0.732, -2.502, , , , , , , -7.311, -6.674, -155.154, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.004, -0.146, 1.001, -2.93, -0.732, -2.747, , , , , , , -7.339, -6.68, -155.182, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.001, -0.147, 1.002, -3.113, -1.953, -2.808, , , , , , , -7.377, -6.702, -155.209, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0, -0.145, 1.007, -2.93, -2.319, -2.808, , , , , , , -7.416, -6.729, -155.231, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.004, -0.136, 1.009, -3.357, -2.136, -2.38, , , , , , , -7.454, -6.757, -155.253, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.009, -0.131, 1.01, -3.967, -1.77, -1.77, , , , , , , -7.498, -6.779, -155.275, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.238,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.009, -0.133, 1.013, -3.784, -1.648, -1.221, , , , , , , -7.542, -6.801, -155.286, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.298,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.013, -0.138, 1.02, -3.296, -1.038, -0.122, , , , , , , -7.581, -6.817, -155.292, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.298,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.019, -0.144, 1.021, -3.113, -1.221, 0.916, , , , , , , -7.625, -6.828, -155.286, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.298,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.018, -0.153, 1.021, -2.319, -2.686, 1.831, , , , , , , -7.657, -6.844, -155.264, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.298,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.014, -0.159, 1.025, -1.282, -3.357, 2.319, , , , , , , -7.679, -6.877, -155.242, -9.500, -29.300, -26.460, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.358,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.007, -0.164, 1.029, -0.122, -3.479, 2.747, , , , , , , -7.696, -6.905, -155.209, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.358,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.006, -0.169, 1.026, 0.427, -3.296, 3.418, , , , , , , -7.696, -6.938, -155.171, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.358,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, -0.005, -0.173, 1.019, 0.549, -3.662, 3.906, , , , , , , -7.701, -6.965, -155.132, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.358,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0, -0.175, 1.01, 0.305, -5.249, 4.395, , , , , , , -7.701, -7.004, -155.083, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.388,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.008, -0.177, 1.001, -0.549, -6.47, 4.517, , , , , , , -7.707, -7.059, -155.028, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.388,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.018, -0.179, 0.996, -1.526, -7.751, 4.272, , , , , , , -7.729, -7.125, -154.973, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.388,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.025, -0.181, 0.995, -2.686, -9.033, 3.845, , , , , , , -7.756, -7.202, -154.924, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.388,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.036, -0.182, 0.995, -3.845, -9.827, 3.235, , , , , , , -7.8, -7.295, -154.874, -8.200, -27.900, -25.960, 29.24, 0.21515, -0.01743, 0.06738, -0.97406,
 13:56:14.418,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.044, -0.185, 0.996, -4.639, -9.766, 2.502, , , , , , , -7.85, -7.388, -154.83, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.418,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.049, -0.19, 1.003, -4.211, -9.338, 1.648, , , , , , , -7.899, -7.482, -154.792, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.418,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.05, -0.193, 1.015, -3.113, -8.911, 0.61, , , , , , , -7.943, -7.57, -154.77, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.418,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.053, -0.193, 1.027, -1.648, -9.033, -0.305, , , , , , , -7.976, -7.657, -154.753, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.448,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.057, -0.191, 1.034, -0.488, -8.85, -1.16, , , , , , , -7.993, -7.751, -154.748, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.448,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.058, -0.189, 1.034, 0.122, -8.362, -1.892, , , , , , , -7.998, -7.839, -154.748, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.448,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.058, -0.187, 1.027, 0.793, -7.812, -2.808, , , , , , , -7.998, -7.921, -154.759, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.448,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.593, 0.056, -0.184, 1.016, 0.916, -6.958, -3.662, , , , , , , -7.998, -8.004, -154.781, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.597,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.053, -0.18, 1.006, 1.16, -6.287, -4.333, , , , , , , -7.993, -8.075, -154.814, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.597,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.048, -0.173, 1.004, 1.038, -5.31, -4.639, , , , , , , -7.987, -8.141, -154.847, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.597,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.042, -0.166, 1.004, 0.488, -4.883, -4.578, , , , , , , -7.982, -8.196, -154.885, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.597,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.04, -0.162, 1.005, 0.244, -4.578, -4.15, , , , , , , -7.982, -8.256, -154.924, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.629,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.039, -0.161, 1.009, 0.061, -3.113, -3.418, , , , , , , -7.987, -8.3, -154.951, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.629,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.033, -0.161, 1.01, -0.305, -1.221, -2.441, , , , , , , -7.993, -8.328, -154.979, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.629,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.022, -0.161, 1.007, -1.038, -0.061, -1.526, , , , , , , -8.009, -8.333, -154.995, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.629,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.014, -0.159, 1.003, -1.77, 0, -0.977, , , , , , , -8.026, -8.339, -155.012, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.689,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.01, -0.158, 1.001, -2.502, -0.122, -0.366, , , , , , , -8.053, -8.339, -155.017, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.689,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.008, -0.16, 1, -2.93, -0.61, 0.122, , , , , , , -8.091, -8.344, -155.017, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.689,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.012, -0.166, 1.005, -2.441, -1.16, 1.038, , , , , , , -8.124, -8.355, -155.006, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.689,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.02, -0.172, 1.016, -1.404, -1.587, 1.953, , , , , , , -8.152, -8.366, -154.99, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.691,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.029, -0.176, 1.031, -0.122, -1.16, 2.563, , , , , , , -8.163, -8.383, -154.962, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.691,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.036, -0.176, 1.038, 0.61, 0.305, 2.502, , , , , , , -8.168, -8.383, -154.94, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.691,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.04, -0.178, 1.035, 1.404, 2.014, 2.258, , , , , , , -8.168, -8.366, -154.918, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.691,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.043, -0.182, 1.025, 2.197, 3.052, 2.014, , , , , , , -8.157, -8.339, -154.896, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.046, -0.185, 1.014, 2.563, 4.028, 1.709, , , , , , , -8.135, -8.3, -154.885, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.047, -0.186, 1.006, 2.319, 4.7, 1.343, , , , , , , -8.119, -8.251, -154.88, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
 13:56:14.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:28:15.978, 0.044, -0.185, 0.998, 1.465, 4.15, 0.977, , , , , , , -8.102, -8.207, -154.874, -8.200, -27.900, -25.960, 29.24, 0.21561, -0.02426, 0.07281, -0.97342,
